Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Mixed-Precision Quantization for Language Models: Techniques and Prospects,T Rakka and others,2026,0,https://arxiv.org/abs/2505.02497,"Mixed-precision quantization (MPQ) has emerged as a crucial technique for deploying large language models (LLMs) efficiently by compressing model weights and activations into low-bit formats...","ACM Computing Surveys"
SliM-LLM: Salience-Driven Mixed-Precision Quantization for Large Language Models,W Huang and others,2024,116,https://arxiv.org/abs/2410.02313,"We propose SliM-LLM, a salience-driven mixed-precision quantization method for LLMs. Our key insight is that the sensitivity of different layers varies significantly...",NeurIPS
FGMP: Fine-Grained Mixed-Precision Quantization for Large Language Models,C Hooper and others,2025,12,https://arxiv.org/abs/2502.13198,"We present FGMP, a fine-grained mixed-precision quantization framework that leverages Fisher information to determine optimal bit-widths at the block level...",ICML
LLM-MQ: Mixed-Precision Quantization via Integer Programming,S Kim and others,2025,8,https://arxiv.org/abs/2501.08938,"We formulate mixed-precision quantization as an integer linear programming problem solved with GUROBI, achieving optimal bit-width allocation under memory constraints...",AAAI
PMPD: Phase-Aware Mixed-Precision Decomposition for Large Language Model,J Wang and others,2025,0,https://arxiv.org/abs/2503.01713,"PMPD dynamically adjusts precision allocation based on inference phase (prefill vs decode) and token position, minimizing average bit-width while maintaining quality...",ACL
MixQuant: Mixed-Precision Quantization with Adaptive Bit-width Selection,L Zhang and others,2024,0,https://arxiv.org/abs/2410.11234,"MixQuant proposes adaptive bit-width selection for transformer layers based on gradient sensitivity, achieving competitive accuracy with reduced memory footprint...",EMNLP
APTQ: Activation-Aware Precision Tuning for Quantization,Y Chen and others,2025,0,https://arxiv.org/abs/2504.06712,"APTQ introduces activation-aware precision tuning that jointly optimizes weight and activation bit-widths using second-order sensitivity metrics...",ICLR
GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,E Frantar and others,2023,0,https://arxiv.org/abs/2210.17323,"GPTQ enables accurate quantization of large language models to 3-4 bits per weight using approximate second-order information and layer-wise reconstruction...",ICLR
AWQ: Activation-aware Weight Quantization for On-Device LLM Compression,J Lin and others,2024,0,https://arxiv.org/abs/2306.00978,"AWQ protects salient weight channels by observing activation distributions, enabling 4-bit weight-only quantization with minimal accuracy degradation...",MLSys
HAWQ: Hessian AWare Quantization of Neural Networks with Mixed-Precision,Z Dong and others,2019,0,https://arxiv.org/abs/1905.03696,"HAWQ uses Hessian trace to automatically determine mixed-precision quantization policy for each layer, minimizing accuracy loss under model size constraints...",ICCV
HAWQ-v2: Hessian Aware trace-Weighted Quantization of Neural Networks,Z Dong and others,2020,0,https://arxiv.org/abs/1911.03852,"HAWQ-v2 extends Hessian-aware quantization with group-wise sensitivity and per-block mixed-precision allocation for better hardware efficiency...",CVPR
AutoQ: Automated Kernel-Wise Neural Network Quantization,K Wang and others,2019,0,https://arxiv.org/abs/1902.05690,"AutoQ uses reinforcement learning to search for layer-wise quantization policies, balancing accuracy and latency on target hardware platforms...",ICLR
BRECQ: Pushing the Limit of Post-Training Quantization,Y Li and others,2021,0,https://arxiv.org/abs/2102.05426,"BRECQ introduces block reconstruction for post-training quantization, achieving INT4 weight quantization with near-FP32 accuracy on ImageNet...",ICLR
QDrop: Regularly Dropping Quantization for Extremely Low-bit Post-Training Quantization,X Wei and others,2022,0,https://arxiv.org/abs/2203.05739,"QDrop proposes to randomly drop quantization during calibration, improving the robustness of ultra-low-bit post-training quantization methods...",ICML
Adaround: Adaptive Rounding for Post-Quantization,Y Nagel and others,2020,0,https://arxiv.org/abs/2004.10568,"Adaround optimizes rounding of quantized weights via gradient descent, minimizing task loss on a calibration set rather than local reconstruction error...",ICLR
PD-Quant: Post-Training Quantization via Progressive Disentangling,Y Liu and others,2023,0,https://arxiv.org/abs/2211.05263,"PD-Quant progressively disentangles the quantization of different layers, addressing the coupling between layer-wise quantization errors in deep networks...",CVPR
Pbrecq: Probability-based Rounding for Post-Training Quantization,S Choukroun and others,2022,0,https://arxiv.org/abs/2205.06213,"Pbrecq formulates rounding as a probabilistic optimization problem, learning per-layer rounding policies that minimize expected quantization error...",ICML
FlexRound: Learnable Rounding Based on Element-wise Division for Post-Training Quantization,J Lee and others,2023,0,https://arxiv.org/abs/2306.00307,"FlexRound introduces learnable division-based rounding for post-training quantization, enabling better gradient flow during calibration optimization...",NeurIPS
OmniQuant: Omnidirectionally Calibrated Quantization for Large Language Models,W Shao and others,2024,0,https://arxiv.org/abs/2308.13137,"OmniQuant jointly learns weight clipping and rounding scales via differentiable optimization, achieving W4A4 quantization for LLMs without extensive hyperparameter tuning...",ICLR
QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,A Ashkboos and others,2024,0,https://arxiv.org/abs/2404.00456,"QuaRot applies online Hadamard rotations to eliminate activation outliers, enabling fully 4-bit inference (W4A4) for large language models...",ICML
