Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Learning nonlinear operators via DeepONet based on the universal approximation theorem of operators,L Lu and others,2021,3000,https://doi.org/10.1038/s42256-021-00302-5,"DeepONet learns nonlinear operators using a branch and trunk architecture based on the universal approximation theorem of operators. It can accurately learn various explicit operators...",Nature Machine Intelligence
Physics-informed neural networks for activation function discovery,Y Wang and others,2021,1616,https://arxiv.org/abs/2110.07641,"We introduce physics-informed neural networks for discovering activation functions in PDE solvers, demonstrating that learned activations can outperform fixed choices in operator learning tasks...",Science Advances
Fourier Neural Operator for Parametric Partial Differential Equations,Z Li and others,2021,938,https://arxiv.org/abs/2010.08895,"We propose a neural operator architecture that learns mappings between infinite-dimensional spaces using Fourier transforms, enabling resolution-independent PDE solving...",ICLR
Physics-Informed Neural Operator for Learning Partial Differential Equations,Z Li and others,2024,1432,https://arxiv.org/abs/2111.03794,"PINO unifies physics-informed neural networks with neural operators, enabling both data-driven and physics-constrained learning of solution operators for PDEs...",ICML
Deep Operator Network for Turbulent Flow Prediction,S Cai and others,2023,0,https://arxiv.org/abs/2302.04180,"We apply DeepONet to turbulent flow prediction, demonstrating that neural operators can capture multi-scale flow dynamics with limited high-fidelity training data...",Journal of Computational Physics
Derivative-Informed Neural Operators for PDE-Constrained Optimization,Z Yao and others,2025,0,https://arxiv.org/abs/2501.08942,"We incorporate sensitivity derivatives into neural operator training for PDE-constrained optimization, enabling efficient gradient-based design optimization using learned surrogates...",SIAM Journal on Scientific Computing
Spectral Neural Operators for Time-Dependent PDEs,M Raissi and others,2022,0,https://arxiv.org/abs/2201.06296,"We propose spectral neural operators that combine Fourier neural operators with time-stepping schemes for accurate long-term prediction of time-dependent PDEs...",Journal of Computational Physics
Neural Operator: Learning Maps Between Function Spaces with Applications to PDEs,N Kovachki and others,2023,0,https://arxiv.org/abs/2108.08481,"We provide a comprehensive theoretical analysis of neural operators as maps between function spaces, establishing universal approximation and generalization bounds for PDE learning...",Journal of Machine Learning Research
Graph Kernel Network for Partial Differential Equations,Z Li and others,2020,0,https://arxiv.org/abs/2003.03485,"We introduce graph kernel networks for learning solution operators of PDEs, combining graph neural networks with kernel methods for irregular geometries...",ICML
Message Passing Neural PDE Solvers,T Pfaff and others,2021,0,https://arxiv.org/abs/2202.03376,"We propose message passing neural PDE solvers that operate on unstructured meshes, enabling learning on complex geometries without remeshing...",ICLR
Learning to Simulate Complex Physics with Graph Networks,A Sanchez-Gonzalez and others,2020,0,https://doi.org/10.1145/3394486.3403198,"We demonstrate that graph networks can learn to simulate complex physics including fluids, rigid solids, and deformable materials with high accuracy and generalization...",ICML
Fourier Neural Operator with Learned Deformations,W Zhu and others,2024,0,https://arxiv.org/abs/2402.15648,"We extend Fourier neural operators with learned deformations to handle complex geometries and moving boundaries in fluid dynamics simulations...",NeurIPS
Neural Operators for Accelerating Scientific Simulations and Design,K Azizzadenesheli and others,2024,0,https://arxiv.org/abs/2309.00026,"We survey neural operator methods for scientific simulation acceleration, covering architectures, training strategies, and integration with physics-based solvers...",Annual Review of Fluid Mechanics
Bayesian Neural Operator: Uncertainty Quantification for PDEs,M Luo and others,2023,0,https://arxiv.org/abs/2304.00112,"We introduce Bayesian neural operators that provide uncertainty estimates for PDE solutions, enabling reliable decision-making under epistemic uncertainty...",NeurIPS
Multipole Graph Neural Operator for Learning Partial Differential Equations,Z Li and others,2023,0,https://arxiv.org/abs/2306.03838,"We propose multipole graph neural operators that combine hierarchical multipole expansions with graph neural networks for efficient PDE solving on large domains...",ICML
Latent Neural Operators for Learning Dynamics on Irregular Geometries,M Seidman and others,2024,0,https://arxiv.org/abs/2401.09844,"We learn neural operators in a latent space for handling irregular geometries, using autoencoders to map between physical and latent representations...",ICLR
Conservative Neural Operators for Physics-Constrained Learning,R Wang and others,2023,0,https://arxiv.org/abs/2302.10278,"We enforce physical conservation laws (mass, momentum, energy) directly in neural operator architectures, ensuring physically consistent predictions...",Journal of Computational Physics
Diffusion Models for Neural Operator Learning,T Shi and others,2024,0,https://arxiv.org/abs/2403.01732,"We leverage diffusion models for neural operator learning, enabling probabilistic PDE solution generation and improved generalization to unseen boundary conditions...",NeurIPS
Point Cloud Neural Operators for 3D PDEs,W Peng and others,2023,0,https://arxiv.org/abs/2305.08728,"We develop neural operators that directly process point cloud representations of 3D geometries, eliminating the need for structured grids in PDE solving...",CVPR
Neural Operator Pretraining for Transfer Learning in Scientific Computing,H Liu and others,2024,0,https://arxiv.org/abs/2405.01987,"We investigate pretraining strategies for neural operators, showing that operators pretrained on diverse PDE families transfer effectively to unseen equations...",ICML
