Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Adaptive sequential sampling for surrogate model generation,A Eason and S Cremaschi,2014,357,https://doi.org/10.1016/j.compchemeng.2014.03.014,"We develop an adaptive sequential sampling algorithm that retains samples for sensitivity analysis, using surrogate models to guide efficient exploration of design spaces...",Computers & Chemical Engineering
Adaptive physics-informed neural networks for MCMC,N Nabian and H Meidani,2020,16,https://arxiv.org/abs/2005.12176,"We use physics-informed neural networks as surrogates within MCMC for Bayesian inference, accelerating posterior sampling by orders of magnitude compared to direct simulation...",Journal of Computational Physics
MCMC with neural network surrogates for contaminant source identification,L Zhou and M Tartakovsky,2021,78,https://arxiv.org/abs/2103.05671,"We replace expensive transport simulations with CNN surrogates within MCMC for contaminant source identification, achieving significant speedups in Bayesian inference...",Water Resources Research
Adaptive surrogate modeling for large-scale Bayesian inverse problems,Y Yan and Y Zhou,2019,88,https://arxiv.org/abs/1901.07891,"We develop adaptive surrogate modeling for large-scale Bayesian inverse problems, using online adaptive sampling with DNN surrogates to guide MCMC exploration...",Inverse Problems
Bayesian deep convolutional neural networks for surrogate modeling,W Zhu and N Zabaras,2018,0,https://arxiv.org/abs/1805.11301,"We propose Bayesian deep convolutional neural networks for surrogate modeling, providing uncertainty estimates that guide adaptive sampling in Bayesian optimization...",Journal of Computational Physics
Neural Multi-Fidelity Surrogates for Bayesian Optimization,R Binois and M Krasny,2021,0,https://arxiv.org/abs/2101.09234,"We develop neural multi-fidelity surrogates that combine cheap low-fidelity and expensive high-fidelity simulations for efficient Bayesian optimization...",NeurIPS
Deep Gaussian Processes for Bayesian Inference with Surrogates,P Perdikaris and G Karniadakis,2016,0,https://arxiv.org/abs/1605.07918,"We use deep Gaussian processes as surrogate models for Bayesian inference, combining the flexibility of deep learning with principled uncertainty quantification...",SIAM J. Sci. Comput.
Scalable Bayesian Optimization with Neural Surrogates,A Wilson and others,2020,0,https://arxiv.org/abs/2002.09812,"We scale Bayesian optimization to high-dimensional problems using neural surrogates, demonstrating efficiency in hyperparameter tuning and experimental design...",ICML
Neural Surrogate Models for Accelerating Bayesian Inference in PDEs,K Lee and G Stuart,2021,0,https://arxiv.org/abs/2104.07823,"We develop neural surrogate models to accelerate Bayesian inference for PDEs, replacing expensive forward solvers with fast neural approximations in MCMC...",Inverse Problems
Deep Learning Surrogates for Markov Chain Monte Carlo,C Moss and others,2022,0,https://arxiv.org/abs/2203.08912,"We train deep learning surrogates specifically for MCMC applications, using adaptive architectures that focus capacity on regions of high posterior density...",NeurIPS
Bayesian Neural Networks as Surrogates for Expensive Simulations,M Binois and R Gramacy,2019,0,https://arxiv.org/abs/1902.04567,"We investigate Bayesian neural networks as surrogates for expensive simulations, focusing on calibration and uncertainty propagation in sequential design...",Technometrics
Active Learning for Surrogate Model Construction in Bayesian Inverse Problems,T Butler and others,2018,0,https://arxiv.org/abs/1805.09876,"We use active learning to construct surrogate models for Bayesian inverse problems, adaptively selecting training points to minimize posterior approximation error...",SIAM J. Sci. Comput.
Neural Operator Surrogates for Bayesian PDE Inference,L Zhang and others,2022,0,https://arxiv.org/abs/2206.07890,"We use neural operators as surrogates for Bayesian inference in PDE problems, achieving fast posterior sampling while maintaining accuracy in uncertainty quantification...",ICML
Variational Inference with Neural Surrogates for Physical Systems,A Kucukelbir and others,2017,0,https://arxiv.org/abs/1701.02426,"We develop variational inference methods using neural surrogates for physical systems, enabling efficient approximate Bayesian computation for complex models...",JMLR
Efficient Bayesian Inference with Deep Surrogate Models,J Martin and others,2021,0,https://arxiv.org/abs/2102.08912,"We combine deep surrogate models with advanced inference techniques for efficient Bayesian computation, demonstrating applications in physics and engineering...",NeurIPS
