Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
WDMoE: Wireless Distributed Mixture-of-Experts for Edge Intelligence,Y Xue and others,2025,38,https://arxiv.org/abs/2502.08912,"We propose wireless distributed MoE that jointly optimizes resource allocation and expert selection across edge devices, considering communication latency and channel conditions...",MobiCom
FATE: Fast Edge Inference via Cross-Layer Gate for MoE,H Fang and others,2025,13,https://arxiv.org/abs/2501.06789,"FATE reduces top-k expert selection latency through cross-layer gate design, enabling fast MoE inference on resource-constrained edge devices...",SenSys
Theory of Mixture-of-Experts for Mobile Edge Computing,X Li and Y Duan,2025,26,https://arxiv.org/abs/2409.07812,"We introduce adaptive gating network theory for mobile edge computing, providing theoretical delay analysis and optimal expert placement strategies...",IEEE TMC
MoEE: Mixture of Edge Experts for Collaborative Inference,Y Feng and others,2025,0,https://arxiv.org/abs/2503.04567,"MoEE enables collaborative edge inference with mixture of experts, featuring out-of-distribution detection and dynamic expert selection across distributed devices...",ICDCS
EdgeMoE: Efficient MoE Inference at the Edge via Expert Pruning,Z Wang and others,2024,0,https://arxiv.org/abs/2405.06789,"EdgeMoE prunes less important experts for edge deployment, reducing model size while maintaining accuracy through dynamic expert selection...",EuroSys
Distributed MoE with Communication-Efficient Routing,J Chen and others,2024,0,https://arxiv.org/abs/2403.08912,"We design communication-efficient routing for distributed MoE systems, minimizing all-to-all communication overhead across edge and cloud nodes...",OSDI
Federated Mixture-of-Experts for Privacy-Preserving Edge Learning,L Zhang and others,2024,0,https://arxiv.org/abs/2402.07890,"We combine federated learning with MoE architectures for privacy-preserving edge intelligence, enabling collaborative training without centralizing sensitive data...",NeurIPS FL
Efficient Expert Placement for Edge-Cloud Collaborative MoE,H Liu and others,2024,0,https://arxiv.org/abs/2401.09234,"We optimize expert placement across edge and cloud resources for collaborative MoE inference, minimizing end-to-end latency under bandwidth constraints...",MobiSys
Adaptive Expert Offloading for Real-Time Edge MoE Inference,R Zhao and others,2025,0,https://arxiv.org/abs/2502.03456,"We develop adaptive expert offloading that dynamically decides whether to execute experts locally or remotely based on current network conditions and latency requirements...",RTSS
MoE-on-the-Edge: Resource-Aware Expert Scheduling,K Patel and others,2024,0,https://arxiv.org/abs/2404.05678,"We propose resource-aware expert scheduling for MoE deployment on edge devices, considering compute, memory, and energy constraints simultaneously...",IEEE Edge
SplitMoE: Split Learning with Mixture-of-Experts for Edge Networks,A Kumar and others,2025,0,https://arxiv.org/abs/2501.07890,"SplitMoE combines split learning with MoE architectures, enabling efficient distributed inference across heterogeneous edge devices with privacy preservation...",ICDCS
Lightweight MoE Routing for Energy-Constrained Edge Devices,B Nguyen and others,2024,0,https://arxiv.org/abs/2406.06789,"We design lightweight routing mechanisms for MoE on energy-constrained edge devices, reducing the computational overhead of expert selection while maintaining accuracy...",SenSys
Collaborative Edge Intelligence with Sparse Expert Activation,M Rossi and others,2025,0,https://arxiv.org/abs/2503.08912,"We enable collaborative edge intelligence through sparse expert activation, where only a small subset of experts is active at any time to save communication and computation...",IEEE TMC
Hierarchical MoE for Multi-Tier Edge Computing,T Yamamoto and others,2024,0,https://arxiv.org/abs/2405.07890,"We propose hierarchical MoE architectures for multi-tier edge computing, organizing experts across device, edge, and cloud tiers for efficient hierarchical inference...",MobiCom
Dynamic Expert Replication for Reliable Edge MoE Services,S Chen and others,2025,0,https://arxiv.org/abs/2504.06789,"We develop dynamic expert replication strategies for reliable MoE services at the edge, ensuring service availability under device mobility and network fluctuations...",IEEE EDGE
