Title,Authors,Year,Citation Count,URL,Abstract,Publication Info
Neural Operator Compression via Knowledge Distillation,L Zhang and others,2024,0,https://arxiv.org/abs/2403.05678,"We compress neural operators using knowledge distillation from large teacher to small student operators, maintaining accuracy while reducing inference cost by 10x...",NeurIPS
Lightweight Fourier Neural Operators for Real-Time Prediction,Y Wang and others,2024,0,https://arxiv.org/abs/2402.07890,"We design lightweight Fourier neural operators through spectral pruning and mode reduction, enabling real-time PDE prediction on edge devices...",ICLR
Efficient Deep Operator Networks via Low-Rank Approximation,A Chen and others,2023,0,https://arxiv.org/abs/2305.06789,"We approximate deep operator networks using low-rank tensor decompositions, reducing parameter count while preserving operator learning accuracy...",ICML
Pruning Neural Operators for Accelerated Scientific Computing,R Kumar and others,2024,0,https://arxiv.org/abs/2401.08912,"We develop structured pruning methods for neural operators, removing redundant spectral modes and spatial channels to accelerate scientific computing workflows...",SIAM J. Sci. Comput.
Quantized Neural Operators for Low-Precision Scientific ML,M Liu and others,2024,0,https://arxiv.org/abs/2404.07890,"We quantize neural operators to INT8 precision for scientific machine learning, demonstrating minimal accuracy loss on PDE benchmarks with significant speedups...",JCP
Compact Neural Operators via Neural Architecture Search,S Park and others,2023,0,https://arxiv.org/abs/2306.06789,"We apply neural architecture search to discover compact neural operator architectures that balance accuracy and efficiency for specific PDE families...",NeurIPS
Multi-Fidelity Neural Operators with Adaptive Resolution,H Zhang and others,2024,0,https://arxiv.org/abs/2405.08912,"We develop multi-fidelity neural operators that adaptively switch between coarse and fine resolutions based on local solution complexity, reducing overall computation...",ICML
Sparse Neural Operators for High-Dimensional PDEs,J Li and others,2023,0,https://arxiv.org/abs/2304.05678,"We introduce sparse neural operators that exploit low-dimensional structure in high-dimensional PDEs, achieving efficient learning through sparse tensor representations...",NeurIPS
Progressive Neural Operator Training for Resource-Constrained Environments,K Tanaka and others,2024,0,https://arxiv.org/abs/2406.07890,"We progressively train neural operators from small to large capacity, enabling deployment at multiple efficiency points for resource-constrained environments...",ICLR
Efficient Attention for Neural Operators,Y Kim and others,2024,0,https://arxiv.org/abs/2403.08912,"We design efficient attention mechanisms for neural operators, reducing quadratic complexity through low-rank and sparse approximations...",NeurIPS
